endpoint,state,zipcode
familyTotalExpensesR3,Florida,33001
familyTotalExpensesR3,Florida,32530
familyTotalExpensesR3,Florida,33503
familyTotalExpensesR3,Florida,34265
familyTotalExpensesR3,Florida,34201
familyTotalExpensesR3,Florida,32040
familyTotalExpensesR3,Florida,32007
familyTotalExpensesR3,Florida,32024
familyTotalExpensesR3,Florida,32703
familyTotalExpensesR3,Florida,32110
familyTotalExpensesR3,Florida,32320
familyTotalExpensesR3,Florida,33825
familyTotalExpensesR3,Florida,32628
familyTotalExpensesR3,Florida,33523
familyTotalExpensesR3,Florida,32619
familyTotalExpensesR3,Florida,32501
familyTotalExpensesR3,Florida,32009
familyTotalExpensesR3,Florida,32347
familyTotalExpensesR3,Florida,33848
familyTotalExpensesR3,Florida,33471
familyTotalExpensesR3,Florida,32059
familyTotalExpensesR3,Florida,33927
familyTotalExpensesR3,Florida,32162
familyTotalExpensesR3,Florida,32422
familyTotalExpensesR3,Florida,33440
familyTotalExpensesR3,Florida,34101
familyTotalExpensesR3,Florida,32427
familyTotalExpensesR3,Georgia,30002
familyTotalExpensesR3,Georgia,30104
familyTotalExpensesR3,Georgia,31512
familyTotalExpensesR3,Georgia,30401
familyTotalExpensesR3,Georgia,30414
familyTotalExpensesR3,Georgia,30143
familyTotalExpensesR3,Georgia,30285
familyTotalExpensesR3,Georgia,30102
familyTotalExpensesR3,Georgia,30533
familyTotalExpensesR3,Georgia,31760
familyTotalExpensesR3,Georgia,30105
familyTotalExpensesR3,Georgia,31601
familyTotalExpensesR3,Georgia,31805
familyTotalExpensesR3,Georgia,30710
familyTotalExpensesR3,Georgia,39845
familyTotalExpensesR3,Georgia,31018
familyTotalExpensesR3,Georgia,31303
familyTotalExpensesR3,Georgia,31308
familyTotalExpensesR3,Georgia,30730
familyTotalExpensesR3,Georgia,30601
familyTotalExpensesR3,Georgia,30812
familyTotalExpensesR3,Georgia,31055
familyTotalExpensesR3,Georgia,31532
familyTotalExpensesR3,Georgia,31624
familyTotalExpensesR3,Georgia,30522
familyTotalExpensesR3,Georgia,30011
familyTotalExpensesR3,Georgia,31714
familyTotalExpensesR3,Georgia,30810
familyTotalExpensesR3,Georgia,31814
familyTotalExpensesR3,Georgia,30623
familyTotalExpensesR3,Georgia,31017
familyTotalExpensesR3,Georgia,30055
familyTotalExpensesR3,Georgia,30012
familyTotalExpensesR3,Georgia,31058
familyTotalExpensesR3,Georgia,31010
familyTotalExpensesR3,Georgia,30511
familyTotalExpensesR3,Georgia,31520
familyTotalExpensesR3,Georgia,30228
familyTotalExpensesR3,Georgia,30004
familyTotalExpensesR3,Georgia,30534
familyTotalExpensesR3,Georgia,30439
familyTotalExpensesR3,Georgia,39827
familyTotalExpensesR3,Georgia,31547
familyTotalExpensesR3,Georgia,30528
familyTotalExpensesR3,Georgia,31034
